Date,Open,High,Low,Close
4/29/2023,"1,895.84","1,916.94","1,887.52","1,904.53"
4/28/2023,"1,919.62","1,925.00","1,875.22","1,895.84"
4/27/2023,"1,866.50","1,937.41","1,849.73","1,919.58"
4/26/2023,"1,863.29","1,963.93","1,790.00","1,865.73"
4/25/2023,"1,839.26","1,864.16","1,804.76","1,860.78"
4/24/2023,"1,848.21","1,888.24","1,810.19","1,837.70"
4/23/2023,"1,869.12","1,882.00","1,839.41","1,848.21"
4/22/2023,"1,834.35","1,887.36","1,834.35","1,868.86"
4/21/2023,"1,938.10","1,956.74","1,830.00","1,838.38"
4/20/2023,"1,980.49","1,981.65","1,917.36","1,938.10"
4/19/2023,"2,093.67","2,107.05","1,967.10","1,981.65"
4/18/2023,"2,078.22","2,123.06","2,056.85","2,092.83"
4/17/2023,"2,122.60","2,130.63","2,062.06","2,078.22"
4/16/2023,"2,088.63","2,137.82","2,076.00","2,122.92"
4/15/2023,"2,107.28","2,112.96","2,074.50","2,089.25"
4/14/2023,"2,007.63","2,130.00","2,006.22","2,107.57"
4/13/2023,"1,908.51","2,022.00","1,902.00","2,008.64"
4/12/2023,"1,894.61","1,930.00","1,860.06","1,908.85"
4/11/2023,"1,890.29","1,938.33","1,885.30","1,895.20"
4/10/2023,"1,856.92","1,904.61","1,848.00","1,885.87"
4/9/2023,"1,855.11","1,866.14","1,829.00","1,857.01"
4/8/2023,"1,853.74","1,879.00","1,849.00","1,855.68"
4/7/2023,"1,862.12","1,883.09","1,844.91","1,853.74"
4/6/2023,"1,905.27","1,913.03","1,856.24","1,865.02"
4/5/2023,"1,879.00","1,935.78","1,860.41","1,905.27"
4/4/2023,"1,775.60","1,889.91","1,770.73","1,879.00"
4/3/2023,"1,788.95","1,839.12","1,763.00","1,780.58"
4/2/2023,"1,817.06","1,826.21","1,775.00","1,789.24"
4/1/2023,"1,816.36","1,841.75","1,811.52","1,817.06"
3/31/2023,"1,795.23","1,846.00","1,782.04","1,817.14"
3/30/2023,"1,802.99","1,827.05","1,765.40","1,795.10"
3/29/2023,"1,774.52","1,823.99","1,764.08","1,803.13"
3/28/2023,"1,707.45","1,791.50","1,702.01","1,774.61"
3/27/2023,"1,761.52","1,782.91","1,690.18","1,707.60"
3/26/2023,"1,732.07","1,798.41","1,731.00","1,761.52"
3/25/2023,"1,749.71","1,762.94","1,717.86","1,732.01"
3/24/2023,"1,818.18","1,821.79","1,730.91","1,750.00"
3/23/2023,"1,736.34","1,858.43","1,718.33","1,817.20"
3/22/2023,"1,797.79","1,821.78","1,713.49","1,736.07"
3/21/2023,"1,760.27","1,837.00","1,725.25","1,798.20"
3/20/2023,"1,800.04","1,816.79","1,744.55","1,760.30"
3/19/2023,"1,795.64","1,844.23","1,755.57","1,799.55"
3/18/2023,"1,744.08","1,840.67","1,744.02","1,796.69"
3/17/2023,"1,659.37","1,766.08","1,659.37","1,743.94"
3/16/2023,"1,652.62","1,694.22","1,639.02","1,658.91"
3/15/2023,"1,705.04","1,721.07","1,617.88","1,652.89"
3/14/2023,"1,671.66","1,781.07","1,666.00","1,708.72"
3/13/2023,"1,558.49","1,699.97","1,544.57","1,672.75"
3/12/2023,"1,475.62","1,564.10","1,461.16","1,562.36"
3/11/2023,"1,426.65","1,485.75","1,415.01","1,475.61"
3/10/2023,"1,433.32","1,446.10","1,374.10","1,426.20"
3/9/2023,"1,552.64","1,553.28","1,411.00","1,432.87"
3/8/2023,"1,550.40","1,569.72","1,544.01","1,552.67"
3/7/2023,"1,566.50","1,582.59","1,536.90","1,550.40"
3/6/2023,"1,571.98","1,580.85","1,556.92","1,566.31"
3/5/2023,"1,556.44","1,587.22","1,553.85","1,571.74"
3/4/2023,"1,560.29","1,577.68","1,550.06","1,556.43"
3/3/2023,"1,641.01","1,655.06","1,548.00","1,558.69"
3/2/2023,"1,657.41","1,676.96","1,620.30","1,641.69"
3/1/2023,"1,600.98","1,667.95","1,597.91","1,656.70"
2/28/2023,"1,627.23","1,647.75","1,598.28","1,605.47"
2/27/2023,"1,642.62","1,664.22","1,611.00","1,627.28"
2/26/2023,"1,574.35","1,649.53","1,572.25","1,642.65"
2/25/2023,"1,602.99","1,610.94","1,559.63","1,574.00"
2/24/2023,"1,645.12","1,664.52","1,576.42","1,602.99"
2/23/2023,"1,619.32","1,678.00","1,618.29","1,646.58"
2/22/2023,"1,641.18","1,662.44","1,598.89","1,619.33"
2/21/2023,"1,700.70","1,716.03","1,637.65","1,641.12"
2/20/2023,"1,686.12","1,719.42","1,652.20","1,700.70"
2/19/2023,"1,688.00","1,722.92","1,671.67","1,686.12"
2/18/2023,"1,692.51","1,711.86","1,672.07","1,688.00"
2/17/2023,"1,683.10","1,719.99","1,630.69","1,695.34"
2/16/2023,"1,666.62","1,745.73","1,664.32","1,682.03"
2/15/2023,"1,556.24","1,674.41","1,544.00","1,665.44"
2/14/2023,"1,486.15","1,565.92","1,485.97","1,555.78"
2/13/2023,"1,509.54","1,525.14","1,464.38","1,486.15"
2/12/2023,"1,534.91","1,548.00","1,510.00","1,511.92"
2/11/2023,"1,506.89","1,537.00","1,505.15","1,535.60"
2/10/2023,"1,539.67","1,554.18","1,495.00","1,507.00"
2/9/2023,"1,652.80","1,655.53","1,525.80","1,541.00"
2/8/2023,"1,667.49","1,692.89","1,631.64","1,652.81"
2/7/2023,"1,638.01","1,677.30","1,606.41","1,667.49"
2/6/2023,"1,622.32","1,657.37","1,610.73","1,638.37"
2/5/2023,"1,678.81","1,688.05","1,612.58","1,622.40"
2/4/2023,"1,657.57","1,694.57","1,646.27","1,678.81"
2/3/2023,"1,632.88","1,674.81","1,629.85","1,657.36"
2/2/2023,"1,635.79","1,711.60","1,635.35","1,640.80"
2/1/2023,"1,576.98","1,646.30","1,559.43","1,635.79"
1/31/2023,"1,557.08","1,602.62","1,549.83","1,576.74"
1/30/2023,"1,643.16","1,653.75","1,538.77","1,557.18"
1/29/2023,"1,567.24","1,659.24","1,562.40","1,643.21"
1/28/2023,"1,598.72","1,606.82","1,560.32","1,567.24"
1/27/2023,"1,602.99","1,621.41","1,556.10","1,598.72"
1/26/2023,"1,624.20","1,639.60","1,580.40","1,602.99"
