Date,Open,High,Low,Close
4/24/2023,0.3845,0.3971,0.3801,0.3833
4/23/2023,0.3943,0.3975,0.3804,0.3845
4/22/2023,0.3807,0.3988,0.3794,0.3943
4/21/2023,0.4023,0.4068,0.3802,0.3807
4/20/2023,0.4182,0.4217,0.3964,0.4024
4/19/2023,0.4423,0.4439,0.4108,0.4182
4/18/2023,0.4353,0.4481,0.4282,0.4421
4/17/2023,0.4524,0.4541,0.4333,0.4353
4/16/2023,0.451,0.4577,0.4421,0.4523
4/15/2023,0.4365,0.4613,0.4317,0.451
4/14/2023,0.4277,0.4441,0.4237,0.4366
4/13/2023,0.4034,0.4289,0.4011,0.4289
4/12/2023,0.401,0.4062,0.3894,0.4025
4/11/2023,0.3899,0.4127,0.3893,0.401
4/10/2023,0.3898,0.394,0.3853,0.3896
4/9/2023,0.384,0.3928,0.3827,0.3898
4/8/2023,0.3816,0.3907,0.3803,0.384
4/7/2023,0.3823,0.3849,0.3762,0.3816
4/6/2023,0.3928,0.3931,0.3767,0.3823
4/5/2023,0.3938,0.3999,0.3868,0.3928
4/4/2023,0.3799,0.3998,0.376,0.3938
4/3/2023,0.38,0.4044,0.3719,0.3799
4/2/2023,0.3936,0.396,0.3762,0.3798
4/1/2023,0.4027,0.4048,0.389,0.3944
3/31/2023,0.3771,0.4085,0.3744,0.4027
3/30/2023,0.386,0.3875,0.3701,0.3769
3/29/2023,0.3606,0.3898,0.3606,0.3856
3/28/2023,0.3417,0.3635,0.3415,0.3607
3/27/2023,0.3527,0.3573,0.3387,0.3421
3/26/2023,0.3519,0.3618,0.3489,0.3527
3/25/2023,0.3619,0.3629,0.3492,0.3519
3/24/2023,0.3708,0.3732,0.357,0.3616
3/23/2023,0.3621,0.3855,0.3544,0.3701
3/22/2023,0.3775,0.3874,0.3501,0.3621
3/21/2023,0.3362,0.3792,0.3304,0.377
3/20/2023,0.3454,0.3504,0.3321,0.3363
3/19/2023,0.3457,0.3533,0.3363,0.3454
3/18/2023,0.3393,0.3569,0.3364,0.3457
3/17/2023,0.3204,0.3476,0.3204,0.3391
3/16/2023,0.3272,0.3296,0.3186,0.3204
3/15/2023,0.3459,0.348,0.3171,0.3272
3/14/2023,0.3426,0.3688,0.3399,0.346
3/13/2023,0.3235,0.3536,0.3203,0.3426
3/12/2023,0.3044,0.3235,0.3034,0.3235
3/11/2023,0.3126,0.3255,0.3035,0.3044
3/10/2023,0.305,0.3178,0.2983,0.3126
3/9/2023,0.322,0.322,0.3029,0.3052
3/8/2023,0.3277,0.3325,0.3169,0.3218
3/7/2023,0.331,0.3345,0.3211,0.3281
3/6/2023,0.3387,0.3387,0.3293,0.331
3/5/2023,0.3323,0.3426,0.3308,0.3387
3/4/2023,0.3405,0.3446,0.3308,0.3323
3/3/2023,0.3492,0.3509,0.3224,0.3407
3/2/2023,0.3593,0.3613,0.3445,0.3492
3/1/2023,0.3499,0.364,0.3496,0.3593
2/28/2023,0.3631,0.3674,0.3489,0.3508
2/27/2023,0.369,0.3699,0.3578,0.3631
2/26/2023,0.355,0.3699,0.3543,0.3689
2/25/2023,0.3629,0.3674,0.3524,0.3549
2/24/2023,0.3821,0.3853,0.3614,0.3628
