Date,Open,High,Low,Close
6/9/2023,"26,637","26,757","26,325","26,446"
6/8/2023,"26,354","26,764","26,153","26,637"
6/7/2023,"26,955","27,294","26,258","26,355"
6/6/2023,"25,641","27,176","25,407","26,955"
6/5/2023,"27,254","27,418","25,438","25,636"
6/4/2023,"27,082","27,294","26,967","27,254"
6/3/2023,"27,200","27,322","27,080","27,082"
6/2/2023,"26,866","27,284","26,590","27,200"
6/1/2023,"27,120","27,334","26,662","26,866"
5/31/2023,"27,777","27,837","26,884","27,120"
5/30/2023,"27,680","28,019","27,573","27,777"
5/29/2023,"27,552","28,419","27,537","27,680"
5/28/2023,"26,759","27,661","26,747","27,552"
5/27/2023,"26,752","26,832","26,629","26,759"
5/26/2023,"26,481","26,913","26,338","26,752"
5/25/2023,"26,443","26,614","25,924","26,481"
5/24/2023,"27,216","27,241","26,111","26,443"
5/23/2023,"26,895","27,429","26,802","27,216"
5/22/2023,"26,855","27,048","26,555","26,895"
5/21/2023,"27,027","27,255","26,819","26,855"
5/20/2023,"26,836","27,159","26,836","27,027"
5/19/2023,"26,741","27,139","26,642","26,836"
5/18/2023,"27,339","27,465","26,397","26,741"
5/17/2023,"26,959","27,449","26,587","27,339"
5/16/2023,"27,355","27,388","26,890","26,959"
5/15/2023,"26,949","27,652","26,761","27,355"
5/14/2023,"26,997","27,227","26,715","26,949"
5/13/2023,"26,451","27,082","26,451","26,998"
5/12/2023,"27,027","27,085","25,883","26,456"
5/11/2023,"27,884","27,887","26,767","27,027"
5/10/2023,"27,670","28,297","26,967","27,896"
5/9/2023,"27,565","27,837","27,403","27,670"
5/8/2023,"28,926","28,995","27,297","27,565"
5/7/2023,"28,961","29,261","28,834","28,926"
5/6/2023,"29,531","29,983","28,567","28,961"
5/5/2023,"28,891","29,677","28,776","29,531"
5/4/2023,"28,512","29,369","28,512","28,891"
5/3/2023,"28,705","28,794","28,173","28,512"
5/2/2023,"27,705","28,876","27,700","28,705"
5/1/2023,"29,348","29,482","27,705","27,705"
4/30/2023,"29,296","30,006","29,156","29,348"
4/29/2023,"29,350","29,537","29,123","29,296"
4/28/2023,"29,596","29,782","28,934","29,350"
4/27/2023,"28,289","29,856","28,152","29,596"
4/26/2023,"27,991","29,963","27,419","28,289"
4/25/2023,"27,434","28,043","27,183","27,991"
4/24/2023,"27,509","27,985","27,039","27,434"
4/23/2023,"27,798","28,003","27,489","27,509"
4/22/2023,"27,299","27,871","27,263","27,798"
4/21/2023,"28,196","28,352","27,213","27,299"
4/20/2023,"29,269","29,269","28,068","28,196"
4/19/2023,"30,403","30,405","29,123","29,269"
4/18/2023,"29,478","30,454","29,171","30,403"
4/17/2023,"30,339","30,410","29,292","29,474"
4/16/2023,"30,375","30,606","30,236","30,339"
4/15/2023,"30,442","30,691","30,312","30,375"
4/14/2023,"30,311","30,976","30,052","30,442"
4/13/2023,"29,963","30,557","29,818","30,311"
4/12/2023,"30,173","30,410","29,739","29,963"
4/11/2023,"29,111","30,488","29,089","30,173"
4/10/2023,"28,108","29,258","28,108","29,111"
4/9/2023,"27,961","28,298","27,899","28,108"
4/8/2023,"27,855","28,188","27,847","27,961"
4/7/2023,"27,982","28,103","27,801","27,855"
4/6/2023,"28,185","28,230","27,778","27,982"
4/5/2023,"28,266","28,722","27,826","28,185"
4/4/2023,"27,577","28,427","27,337","28,266"
4/3/2023,"28,089","28,463","27,573","27,573"
4/2/2023,"28,467","28,570","27,953","28,089"
4/1/2023,"28,392","28,815","28,316","28,467"
3/31/2023,"28,164","28,654","27,554","28,392"
3/30/2023,"28,385","29,140","27,770","28,154"
3/29/2023,"27,323","28,612","27,129","28,385"
3/28/2023,"27,041","27,492","26,674","27,329"
3/27/2023,"27,812","28,133","26,576","27,041"
3/26/2023,"27,387","28,186","27,384","27,811"
3/25/2023,"27,617","27,806","27,067","27,387"
3/24/2023,"28,312","28,447","27,548","27,632"
3/23/2023,"27,381","28,732","27,041","28,312"
3/22/2023,"28,117","28,796","26,700","27,360"
3/21/2023,"28,047","28,462","27,421","28,117"
3/20/2023,"27,963","28,502","27,201","28,047"
3/19/2023,"27,413","28,432","26,912","27,963"
3/18/2023,"26,791","27,788","26,791","27,413"
3/17/2023,"24,701","26,991","24,701","26,791"
3/16/2023,"24,369","25,187","24,215","24,701"
3/15/2023,"24,674","25,260","23,989","24,371"
3/14/2023,"24,126","26,425","23,951","24,674"
3/13/2023,"21,403","24,538","21,255","24,126"
3/12/2023,"20,453","21,432","20,392","21,397"
3/11/2023,"20,096","20,784","19,889","20,453"
3/10/2023,"20,244","20,475","19,594","20,091"
3/9/2023,"22,005","22,005","20,125","20,244"
3/8/2023,"22,050","22,267","21,883","22,006"
3/7/2023,"22,404","22,529","21,971","22,050"
3/6/2023,"22,482","22,571","22,313","22,401"
3/5/2023,"22,226","22,633","22,215","22,482"
3/4/2023,"22,246","22,411","22,170","22,224"
3/3/2023,"23,417","23,549","22,111","22,246"
3/2/2023,"23,542","23,783","23,219","23,427"
3/1/2023,"23,142","23,942","23,046","23,542"
2/28/2023,"23,386","23,613","23,056","23,159"
2/27/2023,"23,564","23,869","23,172","23,386"
2/26/2023,"22,951","23,677","22,931","23,565"
2/25/2023,"23,131","23,241","22,802","22,951"
2/24/2023,"23,897","24,118","22,934","23,131"
2/23/2023,"23,804","24,592","23,623","23,897"
2/22/2023,"24,183","24,468","23,604","23,804"
2/21/2023,"24,762","25,147","24,183","24,183"
2/20/2023,"24,544","25,098","23,896","24,762"
2/19/2023,"24,624","25,175","24,308","24,544"
2/18/2023,"24,593","24,839","24,116","24,624"
2/17/2023,"24,520","24,987","23,382","24,593"
2/16/2023,"24,173","25,193","24,145","24,520"
2/15/2023,"22,251","24,189","22,066","24,173"
2/14/2023,"21,624","22,304","21,611","22,251"
2/13/2023,"21,739","21,894","21,437","21,621"
2/12/2023,"21,829","22,086","21,714","21,739"
2/11/2023,"21,543","21,839","21,527","21,829"
2/10/2023,"21,841","21,940","21,507","21,543"
2/9/2023,"22,960","22,999","21,757","21,841"
2/8/2023,"23,191","23,405","22,711","22,960"
2/7/2023,"22,918","23,297","22,650","23,201"
2/6/2023,"22,896","23,150","22,643","22,918"
2/5/2023,"23,417","23,452","22,782","22,896"
2/4/2023,"23,380","23,575","23,278","23,417"
2/3/2023,"23,598","23,706","23,244","23,387"
2/2/2023,"23,678","24,205","23,581","23,598"
2/1/2023,"22,950","23,789","22,820","23,678"
1/31/2023,"22,743","23,182","22,549","22,950"
1/30/2023,"23,792","23,870","22,644","22,732"
1/29/2023,"23,005","23,940","22,975","23,792"
1/28/2023,"23,097","23,184","22,900","23,005"
1/27/2023,"23,072","23,478","22,587","23,097"
1/26/2023,"23,576","23,762","22,856","23,068"
1/25/2023,"22,903","23,641","22,358","23,576"
1/24/2023,"22,989","23,158","22,783","22,900"
1/23/2023,"22,599","23,137","22,550","22,989"
1/22/2023,"23,199","23,215","22,357","22,579"
1/21/2023,"22,336","23,318","22,328","23,199"
1/20/2023,"20,941","22,387","20,887","22,336"
1/19/2023,"20,772","21,162","20,659","20,941"
1/18/2023,"21,330","21,532","20,502","20,775"
1/17/2023,"21,130","21,427","20,906","21,330"
1/16/2023,"20,898","21,413","20,700","21,129"
1/15/2023,"20,900","21,066","20,577","20,898"
1/14/2023,"19,818","21,204","19,751","20,888"
1/13/2023,"18,836","19,866","18,727","19,818"
1/12/2023,"17,556","19,051","17,517","18,822"
1/11/2023,"17,475","17,570","17,323","17,556"
1/10/2023,"17,190","17,489","17,134","17,475"
1/9/2023,"16,955","17,399","16,952","17,190"
1/8/2023,"16,943","17,007","16,913","16,953"
1/7/2023,"16,929","16,981","16,909","16,943"
1/6/2023,"16,846","17,002","16,698","16,929"
1/5/2023,"16,821","16,846","16,771","16,846"
1/4/2023,"16,667","16,980","16,641","16,820"
1/3/2023,"16,725","16,799","16,609","16,667"
1/2/2023,"16,591","16,758","16,544","16,725"
